metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.95344,0.91057,0.96651,0.63257,1.26691,0.55215,1.1698,0,450.3306074142456,False,1,f69d2_00009,2023-05-13_19-05-41,1683975941,450.3306074142456,12148,DaveJammin_TUF,127.0.0.1,450.3306074142456,1
0.95376,0.90139,0.96495,0.65071,1.19935,0.54418,1.11782,1,102.49966931343079,False,2,f69d2_00009,2023-05-13_19-07-24,1683976044,552.8302767276764,12148,DaveJammin_TUF,127.0.0.1,552.8302767276764,2
0.95093,0.91924,0.96949,0.64156,1.2472,0.53838,1.15241,2,124.46060681343079,False,3,f69d2_00009,2023-05-13_19-09-28,1683976168,677.2908835411072,12148,DaveJammin_TUF,127.0.0.1,677.2908835411072,3
0.94785,0.90569,0.96123,0.6336,1.23098,0.54446,1.1398,3,162.8181493282318,False,4,f69d2_00009,2023-05-13_19-12-11,1683976331,840.109032869339,12148,DaveJammin_TUF,127.0.0.1,840.109032869339,4
0.95352,0.91745,0.96823,0.61945,1.2823,0.53694,1.16512,4,296.34758973121643,False,5,f69d2_00009,2023-05-13_19-17-08,1683976628,1136.4566226005554,12148,DaveJammin_TUF,127.0.0.1,1136.4566226005554,5
0.951,0.92282,0.97076,0.65199,1.19569,0.50641,1.12173,5,162.7865731716156,False,6,f69d2_00009,2023-05-13_19-19-50,1683976790,1299.243195772171,12148,DaveJammin_TUF,127.0.0.1,1299.243195772171,6
0.95654,0.9281,0.97548,0.66341,1.16667,0.48495,1.10746,6,143.40491461753845,False,7,f69d2_00009,2023-05-13_19-22-14,1683976934,1442.6481103897095,12148,DaveJammin_TUF,127.0.0.1,1442.6481103897095,7
0.95387,0.93542,0.97608,0.6552,1.19697,0.49052,1.12497,7,139.1516215801239,False,8,f69d2_00009,2023-05-13_19-24-33,1683977073,1581.7997319698334,12148,DaveJammin_TUF,127.0.0.1,1581.7997319698334,8
