metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.90702,0.8505,0.92034,0.49683,1.52595,0.99999,1.30943,0,373.33470940589905,False,1,69709_00000,2023-05-13_13-23-38,1683955418,373.33470940589905,36228,DaveJammin_TUF,127.0.0.1,373.33470940589905,1
0.91489,0.86539,0.93498,0.56165,1.3545,0.8448,1.19925,1,110.46753120422363,False,2,69709_00000,2023-05-13_13-25-29,1683955529,483.8022406101227,36228,DaveJammin_TUF,127.0.0.1,483.8022406101227,2
0.94092,0.88423,0.95553,0.53143,1.461,0.95262,1.28375,2,109.87129592895508,False,3,69709_00000,2023-05-13_13-27-19,1683955639,593.6735365390778,36228,DaveJammin_TUF,127.0.0.1,593.6735365390778,3
0.946,0.86404,0.94095,0.56383,1.37588,0.72995,1.21763,3,108.74534821510315,False,4,69709_00000,2023-05-13_13-29-08,1683955748,702.4188847541809,36228,DaveJammin_TUF,127.0.0.1,702.4188847541809,4
0.93245,0.89256,0.95755,0.58566,1.33866,0.69119,1.18892,4,107.84796714782715,False,5,69709_00000,2023-05-13_13-30-55,1683955855,810.266851902008,36228,DaveJammin_TUF,127.0.0.1,810.266851902008,5
0.95614,0.89127,0.95811,0.61325,1.27498,0.67292,1.16121,5,108.85382866859436,False,6,69709_00000,2023-05-13_13-32-44,1683955964,919.1206805706024,36228,DaveJammin_TUF,127.0.0.1,919.1206805706024,6
0.95069,0.91694,0.97045,0.63107,1.23005,0.60337,1.1406,6,109.17071962356567,False,7,69709_00000,2023-05-13_13-34-33,1683956073,1028.291400194168,36228,DaveJammin_TUF,127.0.0.1,1028.291400194168,7
0.95624,0.91032,0.97055,0.64514,1.1981,0.5682,1.12478,7,109.55084466934204,False,8,69709_00000,2023-05-13_13-36-23,1683956183,1137.8422448635101,36228,DaveJammin_TUF,127.0.0.1,1137.8422448635101,8
0.95511,0.91902,0.97487,0.63663,1.23098,0.55228,1.13916,8,109.0701334476471,False,9,69709_00000,2023-05-13_13-38-12,1683956292,1246.9123783111572,36228,DaveJammin_TUF,127.0.0.1,1246.9123783111572,9
0.95913,0.92563,0.97664,0.65784,1.172,0.526,1.10788,9,116.05808854103088,False,10,69709_00000,2023-05-13_13-40-08,1683956408,1362.970466852188,36228,DaveJammin_TUF,127.0.0.1,1362.970466852188,10
0.9581390468991531,0.9261436238180424,0.9766191030440633,0.6579741820878011,,,,9,25.82302975654602,False,11,69709_00000,2023-05-13_13-40-34,1683956434,1388.7934966087341,36228,DaveJammin_TUF,127.0.0.1,1388.7934966087341,11
