metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.95814,0.9402,0.97874,0.67397,1.14338,0.48131,1.10388,0,357.58885955810547,False,1,69709_00004,2023-05-13_15-08-17,1683961697,357.58885955810547,36228,DaveJammin_TUF,127.0.0.1,357.58885955810547,1
0.9603,0.93337,0.97872,0.67657,1.14744,0.47826,1.10644,1,122.0917456150055,False,2,69709_00004,2023-05-13_15-10-20,1683961820,479.68060517311096,36228,DaveJammin_TUF,127.0.0.1,479.68060517311096,2
0.96075,0.93831,0.97986,0.66671,1.16342,0.47988,1.10939,2,120.41979026794434,False,3,69709_00004,2023-05-13_15-12-20,1683961940,600.1003954410553,36228,DaveJammin_TUF,127.0.0.1,600.1003954410553,3
