metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.96039,0.92947,0.97891,0.66905,1.15496,0.4968,1.09377,0,415.6938877105713,False,1,6f88c_00002,2023-05-13_22-33-39,1683988419,415.6938877105713,23060,DaveJammin_TUF,127.0.0.1,415.6938877105713,1
0.95978,0.93315,0.97973,0.6757,1.13729,0.49266,1.08502,1,74.98436498641968,False,2,6f88c_00002,2023-05-13_22-34-54,1683988494,490.67825269699097,23060,DaveJammin_TUF,127.0.0.1,490.67825269699097,2
0.95567,0.93659,0.98056,0.67517,1.14473,0.48828,1.0884,2,74.62727856636047,False,3,6f88c_00002,2023-05-13_22-36-09,1683988569,565.3055312633514,23060,DaveJammin_TUF,127.0.0.1,565.3055312633514,3
0.95927,0.93289,0.97908,0.67263,1.14724,0.48334,1.09019,3,75.26919198036194,False,4,6f88c_00002,2023-05-13_22-37-24,1683988644,640.5747232437134,23060,DaveJammin_TUF,127.0.0.1,640.5747232437134,4
0.95979,0.93332,0.98132,0.67953,1.13701,0.48034,1.08477,4,75.40263628959656,False,5,6f88c_00002,2023-05-13_22-38-40,1683988720,715.9773595333099,23060,DaveJammin_TUF,127.0.0.1,715.9773595333099,5
0.95553,0.93907,0.98081,0.68072,1.13608,0.47783,1.0833,5,76.07820463180542,False,6,6f88c_00002,2023-05-13_22-39-56,1683988796,792.0555641651154,23060,DaveJammin_TUF,127.0.0.1,792.0555641651154,6
0.95581,0.93972,0.9816,0.68283,1.13027,0.47198,1.08023,6,87.79565143585205,False,7,6f88c_00002,2023-05-13_22-41-24,1683988884,879.8512156009674,23060,DaveJammin_TUF,127.0.0.1,879.8512156009674,7
0.95436,0.94049,0.98234,0.67915,1.13339,0.47295,1.08143,7,75.77324604988098,False,8,6f88c_00002,2023-05-13_22-42-39,1683988959,955.6244616508484,23060,DaveJammin_TUF,127.0.0.1,955.6244616508484,8
0.96112,0.93491,0.98083,0.68181,1.13039,0.47005,1.0804,8,85.31254124641418,False,9,6f88c_00002,2023-05-13_22-44-05,1683989045,1040.9370028972626,23060,DaveJammin_TUF,127.0.0.1,1040.9370028972626,9
0.9562,0.9402,0.98161,0.68067,1.13454,0.46983,1.08257,9,81.7547128200531,False,10,6f88c_00002,2023-05-13_22-45-26,1683989126,1122.6917157173157,23060,DaveJammin_TUF,127.0.0.1,1122.6917157173157,10
0.9557885177710965,0.9399437771530795,0.9815966113849529,0.6830291017293038,,,,9,23.861056804656982,False,11,6f88c_00002,2023-05-13_22-45-50,1683989150,1146.5527725219727,23060,DaveJammin_TUF,127.0.0.1,1146.5527725219727,11
