metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.89582,0.83944,0.91314,0.58102,1.28183,0.89428,1.19582,0,478.00643706321716,False,1,69709_00001,2023-05-13_13-48-34,1683956914,478.00643706321716,36228,DaveJammin_TUF,127.0.0.1,478.00643706321716,1
0.90069,0.86558,0.93314,0.60245,1.26583,0.73741,1.18821,1,110.25855040550232,False,2,69709_00001,2023-05-13_13-50-24,1683957024,588.2649874687195,36228,DaveJammin_TUF,127.0.0.1,588.2649874687195,2
0.9371,0.88713,0.952,0.57995,1.32564,0.69807,1.2084,2,115.75850796699524,False,3,69709_00001,2023-05-13_13-52-20,1683957140,704.0234954357147,36228,DaveJammin_TUF,127.0.0.1,704.0234954357147,3
0.95884,0.86923,0.95456,0.62023,1.26465,0.64662,1.18093,3,108.8494565486908,False,4,69709_00001,2023-05-13_13-54-09,1683957249,812.8729519844055,36228,DaveJammin_TUF,127.0.0.1,812.8729519844055,4
0.92634,0.90391,0.95828,0.61562,1.25609,0.63727,1.17688,4,110.49923968315125,False,5,69709_00001,2023-05-13_13-55-59,1683957359,923.3721916675568,36228,DaveJammin_TUF,127.0.0.1,923.3721916675568,5
0.95234,0.90384,0.96731,0.64911,1.19629,0.57788,1.15136,5,111.74540424346924,False,6,69709_00001,2023-05-13_13-57-51,1683957471,1035.117595911026,36228,DaveJammin_TUF,127.0.0.1,1035.117595911026,6
0.94723,0.91281,0.96915,0.64894,1.18158,0.5649,1.13763,6,112.30500340461731,False,7,69709_00001,2023-05-13_13-59-43,1683957583,1147.4225993156433,36228,DaveJammin_TUF,127.0.0.1,1147.4225993156433,7
0.95166,0.91575,0.9703,0.65399,1.17238,0.54562,1.12191,7,129.31978297233582,False,8,69709_00001,2023-05-13_14-01-53,1683957713,1276.7423822879791,36228,DaveJammin_TUF,127.0.0.1,1276.7423822879791,8
0.95753,0.92189,0.97376,0.64896,1.19969,0.52365,1.13426,8,112.36543107032776,False,9,69709_00001,2023-05-13_14-03-45,1683957825,1389.1078133583069,36228,DaveJammin_TUF,127.0.0.1,1389.1078133583069,9
0.95179,0.92844,0.97609,0.66724,1.14952,0.50514,1.1087,9,139.24216413497925,False,10,69709_00001,2023-05-13_14-06-04,1683957964,1528.3499774932861,36228,DaveJammin_TUF,127.0.0.1,1528.3499774932861,10
0.9513168161529036,0.9289547661640685,0.9760805770220037,0.6670650683857333,,,,9,25.217292308807373,False,11,69709_00001,2023-05-13_14-06-29,1683957989,1553.5672698020935,36228,DaveJammin_TUF,127.0.0.1,1553.5672698020935,11
