metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.9414,0.89083,0.95808,0.6079,1.28141,0.62888,1.16802,0,329.2454032897949,False,1,f69d2_00001,2023-05-13_15-49-17,1683964157,329.2454032897949,12148,DaveJammin_TUF,127.0.0.1,329.2454032897949,1
0.93564,0.86737,0.94626,0.6003,1.26484,0.6586,1.16078,1,98.14636206626892,False,2,f69d2_00001,2023-05-13_15-50-55,1683964255,427.39176535606384,12148,DaveJammin_TUF,127.0.0.1,427.39176535606384,2
0.91234,0.86706,0.92934,0.57955,1.31713,0.73424,1.19192,2,98.52896547317505,False,3,f69d2_00001,2023-05-13_15-52-34,1683964354,525.9207308292389,12148,DaveJammin_TUF,127.0.0.1,525.9207308292389,3
0.93565,0.88832,0.95369,0.60399,1.32125,0.6259,1.18462,3,110.48088097572327,False,4,f69d2_00001,2023-05-13_15-54-24,1683964464,636.4016118049622,12148,DaveJammin_TUF,127.0.0.1,636.4016118049622,4
0.95121,0.89011,0.95803,0.62337,1.21551,0.61143,1.14002,4,98.39354372024536,False,5,f69d2_00001,2023-05-13_15-56-02,1683964562,734.7951555252075,12148,DaveJammin_TUF,127.0.0.1,734.7951555252075,5
0.94577,0.90519,0.96082,0.58578,1.35324,0.60372,1.20885,5,117.92498755455017,False,6,f69d2_00001,2023-05-13_15-58-00,1683964680,852.7201430797577,12148,DaveJammin_TUF,127.0.0.1,852.7201430797577,6
0.94533,0.91515,0.96764,0.6524,1.1932,0.54685,1.12343,6,98.20762777328491,False,7,f69d2_00001,2023-05-13_15-59-39,1683964779,950.9277708530426,12148,DaveJammin_TUF,127.0.0.1,950.9277708530426,7
0.95665,0.91928,0.9718,0.64319,1.20522,0.53727,1.12805,7,111.2134952545166,False,8,f69d2_00001,2023-05-13_16-01-30,1683964890,1062.1412661075592,12148,DaveJammin_TUF,127.0.0.1,1062.1412661075592,8
0.96021,0.92001,0.9736,0.65497,1.18478,0.51692,1.11349,8,97.63279914855957,False,9,f69d2_00001,2023-05-13_16-03-07,1683964987,1159.7740652561188,12148,DaveJammin_TUF,127.0.0.1,1159.7740652561188,9
0.95166,0.93355,0.97501,0.66145,1.16939,0.49767,1.11098,9,125.67103743553162,False,10,f69d2_00001,2023-05-13_16-05-13,1683965113,1285.4451026916504,12148,DaveJammin_TUF,127.0.0.1,1285.4451026916504,10
0.9513214782405144,0.9339458292946665,0.9750402576893781,0.6612302914490074,,,,9,25.23857617378235,False,11,f69d2_00001,2023-05-13_16-05-38,1683965138,1310.6836788654327,12148,DaveJammin_TUF,127.0.0.1,1310.6836788654327,11
