metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.9638,0.92524,0.97735,0.66551,1.16661,0.49352,1.09676,0,360.6568036079407,False,1,6f88c_00003,2023-05-13_22-51-53,1683989513,360.6568036079407,23060,DaveJammin_TUF,127.0.0.1,360.6568036079407,1
0.95726,0.92921,0.97786,0.6731,1.14196,0.49649,1.08191,1,74.36940813064575,False,2,6f88c_00003,2023-05-13_22-53-07,1683989587,435.0262117385864,23060,DaveJammin_TUF,127.0.0.1,435.0262117385864,2
0.94886,0.93177,0.97646,0.6585,1.18166,0.50083,1.10364,2,74.64427661895752,False,3,6f88c_00003,2023-05-13_22-54-22,1683989662,509.67048835754395,23060,DaveJammin_TUF,127.0.0.1,509.67048835754395,3
0.95065,0.93432,0.97621,0.6639,1.17191,0.49343,1.10167,3,74.99626302719116,False,4,6f88c_00003,2023-05-13_22-55-37,1683989737,584.6667513847351,23060,DaveJammin_TUF,127.0.0.1,584.6667513847351,4
0.95425,0.92614,0.97692,0.67153,1.16003,0.49815,1.0908,4,75.55113816261292,False,5,6f88c_00003,2023-05-13_22-56-52,1683989812,660.217889547348,23060,DaveJammin_TUF,127.0.0.1,660.217889547348,5
0.95294,0.93147,0.97621,0.67768,1.15073,0.48299,1.08835,5,75.81012606620789,False,6,6f88c_00003,2023-05-13_22-58-08,1683989888,736.0280156135559,23060,DaveJammin_TUF,127.0.0.1,736.0280156135559,6
0.95988,0.93407,0.97926,0.68153,1.13964,0.47038,1.08708,6,88.72945189476013,False,7,6f88c_00003,2023-05-13_22-59-37,1683989977,824.757467508316,23060,DaveJammin_TUF,127.0.0.1,824.757467508316,7
0.95632,0.93483,0.97945,0.67846,1.14103,0.47056,1.08444,7,75.44010591506958,False,8,6f88c_00003,2023-05-13_23-00-52,1683990052,900.1975734233856,23060,DaveJammin_TUF,127.0.0.1,900.1975734233856,8
0.95445,0.94097,0.9803,0.68255,1.13345,0.4632,1.07868,8,89.65515232086182,False,9,6f88c_00003,2023-05-13_23-02-22,1683990142,989.8527257442474,23060,DaveJammin_TUF,127.0.0.1,989.8527257442474,9
0.96055,0.93432,0.98017,0.68156,1.1367,0.46336,1.07984,9,82.14992165565491,False,10,6f88c_00003,2023-05-13_23-03-44,1683990224,1072.0026473999023,23060,DaveJammin_TUF,127.0.0.1,1072.0026473999023,10
0.9542033638284982,0.9412215691285458,0.9803034971923835,0.6825111823682637,,,,9,24.454773426055908,False,11,6f88c_00003,2023-05-13_23-04-08,1683990248,1096.4574208259583,23060,DaveJammin_TUF,127.0.0.1,1096.4574208259583,11
