metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.96277,0.93177,0.9776,0.66026,1.18829,0.51901,1.13452,0,400.3579936027527,False,1,f2541_00004,2023-05-14_03-06-05,1684004765,400.3579936027527,4364,DaveJammin_TUF,127.0.0.1,400.3579936027527,1
0.96426,0.93068,0.97654,0.65813,1.18408,0.5338,1.12412,1,72.96055722236633,False,2,f2541_00004,2023-05-14_03-07-18,1684004838,473.318550825119,4364,DaveJammin_TUF,127.0.0.1,473.318550825119,2
0.94375,0.93969,0.97541,0.64975,1.20532,0.54307,1.13855,2,72.67019987106323,False,3,f2541_00004,2023-05-14_03-08-30,1684004910,545.9887506961823,4364,DaveJammin_TUF,127.0.0.1,545.9887506961823,3
0.95133,0.93421,0.97547,0.65214,1.18283,0.52998,1.13545,3,86.004239320755,False,4,f2541_00004,2023-05-14_03-09-56,1684004996,631.9929900169373,4364,DaveJammin_TUF,127.0.0.1,631.9929900169373,4
0.96141,0.92952,0.97653,0.65952,1.18354,0.52121,1.12585,4,85.14339065551758,False,5,f2541_00004,2023-05-14_03-11-22,1684005082,717.1363806724548,4364,DaveJammin_TUF,127.0.0.1,717.1363806724548,5
0.94517,0.9383,0.97769,0.66295,1.1716,0.51333,1.12158,5,86.16581916809082,False,6,f2541_00004,2023-05-14_03-12-48,1684005168,803.3021998405457,4364,DaveJammin_TUF,127.0.0.1,803.3021998405457,6
0.95616,0.93151,0.97766,0.66248,1.1693,0.51313,1.11987,6,87.11080193519592,False,7,f2541_00004,2023-05-14_03-14-15,1684005255,890.4130017757416,4364,DaveJammin_TUF,127.0.0.1,890.4130017757416,7
0.94683,0.94097,0.97828,0.66082,1.17255,0.51053,1.11694,7,85.61732172966003,False,8,f2541_00004,2023-05-14_03-15-40,1684005340,976.0303235054016,4364,DaveJammin_TUF,127.0.0.1,976.0303235054016,8
0.96382,0.93266,0.97933,0.66173,1.1742,0.49562,1.12168,8,88.36321425437927,False,9,f2541_00004,2023-05-14_03-17-09,1684005429,1064.3935377597809,4364,DaveJammin_TUF,127.0.0.1,1064.3935377597809,9
0.95809,0.93509,0.97881,0.66273,1.17158,0.49413,1.11465,9,92.74046969413757,False,10,f2541_00004,2023-05-14_03-18-42,1684005522,1157.1340074539185,4364,DaveJammin_TUF,127.0.0.1,1157.1340074539185,10
0.9451468349613715,0.9379233565280077,0.9776612866070181,0.6627037006244996,,,,9,23.026146411895752,False,11,f2541_00004,2023-05-14_03-19-05,1684005545,1180.1601538658142,4364,DaveJammin_TUF,127.0.0.1,1180.1601538658142,11
