metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.95373,0.90074,0.96542,0.55288,1.47627,0.61766,1.28277,0,474.65731287002563,False,1,69709_00002,2023-05-13_14-14-26,1683958466,474.65731287002563,36228,DaveJammin_TUF,127.0.0.1,474.65731287002563,1
0.93419,0.89548,0.95641,0.61179,1.25916,0.62005,1.17172,1,115.79175448417664,False,2,69709_00002,2023-05-13_14-16-22,1683958582,590.4490673542023,36228,DaveJammin_TUF,127.0.0.1,590.4490673542023,2
0.95778,0.90774,0.96691,0.5775,1.37606,0.61483,1.22253,2,115.96472501754761,False,3,69709_00002,2023-05-13_14-18-18,1683958698,706.4137923717499,36228,DaveJammin_TUF,127.0.0.1,706.4137923717499,3
0.95099,0.92739,0.97345,0.5981,1.36077,0.56451,1.21579,3,136.23440217971802,False,4,69709_00002,2023-05-13_14-20-34,1683958834,842.6481945514679,36228,DaveJammin_TUF,127.0.0.1,842.6481945514679,4
0.95238,0.91496,0.96978,0.60566,1.32843,0.57121,1.20278,4,134.51487612724304,False,5,69709_00002,2023-05-13_14-22-48,1683958968,977.1630706787109,36228,DaveJammin_TUF,127.0.0.1,977.1630706787109,5
0.95435,0.91848,0.96963,0.63187,1.22328,0.54953,1.14499,5,115.81180500984192,False,6,69709_00002,2023-05-13_14-24-44,1683959084,1092.9748756885529,36228,DaveJammin_TUF,127.0.0.1,1092.9748756885529,6
0.95945,0.91901,0.97246,0.6412,1.21489,0.53548,1.14487,6,137.7182536125183,False,7,69709_00002,2023-05-13_14-27-02,1683959222,1230.6931293010712,36228,DaveJammin_TUF,127.0.0.1,1230.6931293010712,7
0.95941,0.92411,0.97432,0.65133,1.18694,0.52449,1.13203,7,138.05960869789124,False,8,69709_00002,2023-05-13_14-29-20,1683959360,1368.7527379989624,36228,DaveJammin_TUF,127.0.0.1,1368.7527379989624,8
0.96794,0.92538,0.97818,0.6498,1.19768,0.5066,1.13618,8,117.64269161224365,False,9,69709_00002,2023-05-13_14-31-18,1683959478,1486.395429611206,36228,DaveJammin_TUF,127.0.0.1,1486.395429611206,9
0.95592,0.93918,0.97923,0.66127,1.17375,0.49604,1.1228,9,145.6710946559906,False,10,69709_00002,2023-05-13_14-33-43,1683959623,1632.0665242671967,36228,DaveJammin_TUF,127.0.0.1,1632.0665242671967,10
0.9560436452267269,0.9393618363718031,0.9792292279794991,0.6608056067589493,,,,9,26.080114126205444,False,11,69709_00002,2023-05-13_14-34-09,1683959649,1658.146638393402,36228,DaveJammin_TUF,127.0.0.1,1658.146638393402,11
