metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.96251,0.925,0.97605,0.66088,1.17773,0.489,1.11921,0,448.93430638313293,False,1,f69d2_00003,2023-05-13_16-37-12,1683967032,448.93430638313293,12148,DaveJammin_TUF,127.0.0.1,448.93430638313293,1
0.95783,0.93381,0.97853,0.66974,1.1557,0.48102,1.10591,1,99.23383140563965,False,2,f69d2_00003,2023-05-13_16-38-51,1683967131,548.1681377887726,12148,DaveJammin_TUF,127.0.0.1,548.1681377887726,2
0.9523,0.92742,0.97483,0.66462,1.17053,0.4999,1.1138,2,113.82669186592102,False,3,f69d2_00003,2023-05-13_16-40-45,1683967245,661.9948296546936,12148,DaveJammin_TUF,127.0.0.1,661.9948296546936,3
0.95903,0.93125,0.97623,0.66252,1.18573,0.48983,1.11952,3,109.14923310279846,False,4,f69d2_00003,2023-05-13_16-42-34,1683967354,771.1440627574921,12148,DaveJammin_TUF,127.0.0.1,771.1440627574921,4
0.95262,0.92996,0.97488,0.66789,1.16154,0.4886,1.10601,4,98.58131957054138,False,5,f69d2_00003,2023-05-13_16-44-12,1683967452,869.7253823280334,12148,DaveJammin_TUF,127.0.0.1,869.7253823280334,5
0.95836,0.93526,0.97844,0.66409,1.17415,0.47921,1.11257,5,124.90124702453613,False,6,f69d2_00003,2023-05-13_16-46-17,1683967577,994.6266293525696,12148,DaveJammin_TUF,127.0.0.1,994.6266293525696,6
0.95012,0.94045,0.97884,0.67577,1.14637,0.46971,1.09863,6,110.52004098892212,False,7,f69d2_00003,2023-05-13_16-48-08,1683967688,1105.1466703414917,12148,DaveJammin_TUF,127.0.0.1,1105.1466703414917,7
0.95577,0.93355,0.97882,0.66908,1.15303,0.47201,1.1038,7,110.03697490692139,False,8,f69d2_00003,2023-05-13_16-49-58,1683967798,1215.183645248413,12148,DaveJammin_TUF,127.0.0.1,1215.183645248413,8
0.96025,0.93355,0.97979,0.67619,1.14249,0.46422,1.09826,8,99.96210217475891,False,9,f69d2_00003,2023-05-13_16-51-38,1683967898,1315.145747423172,12148,DaveJammin_TUF,127.0.0.1,1315.145747423172,9
0.95826,0.93713,0.97957,0.67347,1.14709,0.46099,1.09887,9,128.95075178146362,False,10,f69d2_00003,2023-05-13_16-53-47,1683968027,1444.0964992046356,12148,DaveJammin_TUF,127.0.0.1,1444.0964992046356,10
0.9603166204594771,0.9338409134920763,0.9797875778724454,0.6764644552633154,,,,9,24.71475577354431,False,11,f69d2_00003,2023-05-13_16-54-12,1683968052,1468.81125497818,12148,DaveJammin_TUF,127.0.0.1,1468.81125497818,11
