                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1002,                0.52173,                  1.068,                0.95814,                 0.9402,                0.97874,                0.67397,                 1.1434,                0.48131,                 1.1039,               0.074015,              0.0072942,              0.0072942
                      1,                 1.0991,                0.52123,                 1.0692,                 0.9603,                0.93337,                0.97872,                0.67657,                 1.1474,                0.47826,                 1.1064,               0.046542,               0.013155,               0.013155
                      2,                 1.1052,                0.52225,                 1.0728,                0.96075,                0.93831,                0.97986,                0.66671,                 1.1634,                0.47988,                 1.1094,               0.017623,               0.017569,               0.017569
