metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.9532,0.91609,0.96731,0.59652,1.36629,0.57578,1.23723,0,446.10576915740967,False,1,f69d2_00006,2023-05-13_17-51-09,1683971469,446.10576915740967,12148,DaveJammin_TUF,127.0.0.1,446.10576915740967,1
0.94792,0.89931,0.96334,0.64369,1.21215,0.56499,1.13394,1,102.9086856842041,False,2,f69d2_00006,2023-05-13_17-52-52,1683971572,549.0144548416138,12148,DaveJammin_TUF,127.0.0.1,549.0144548416138,2
0.94894,0.89285,0.9557,0.58061,1.35522,0.60513,1.21085,2,123.49208903312683,False,3,f69d2_00006,2023-05-13_17-54-55,1683971695,672.5065438747406,12148,DaveJammin_TUF,127.0.0.1,672.5065438747406,3
0.94488,0.88858,0.9536,0.62169,1.28966,0.61513,1.18587,3,117.99576497077942,False,4,f69d2_00006,2023-05-13_17-56-53,1683971813,790.50230884552,12148,DaveJammin_TUF,127.0.0.1,790.50230884552,4
0.94939,0.90953,0.96647,0.61553,1.2822,0.56276,1.17357,4,101.85401129722595,False,5,f69d2_00006,2023-05-13_17-58-35,1683971915,892.356320142746,12148,DaveJammin_TUF,127.0.0.1,892.356320142746,5
0.94832,0.91055,0.96657,0.5627,1.46205,0.59961,1.27856,5,124.57960200309753,False,6,f69d2_00006,2023-05-13_18-00-40,1683972040,1016.9359221458435,12148,DaveJammin_TUF,127.0.0.1,1016.9359221458435,6
0.95709,0.91782,0.97096,0.65382,1.18659,0.52116,1.12893,6,117.82663011550903,False,7,f69d2_00006,2023-05-13_18-02-38,1683972158,1134.7625522613525,12148,DaveJammin_TUF,127.0.0.1,1134.7625522613525,7
0.9433,0.92205,0.97202,0.64197,1.21106,0.52274,1.13201,7,117.73969602584839,False,8,f69d2_00006,2023-05-13_18-04-35,1683972275,1252.502248287201,12148,DaveJammin_TUF,127.0.0.1,1252.502248287201,8
0.95832,0.92256,0.97411,0.66373,1.17897,0.50708,1.12093,8,102.89291405677795,False,9,f69d2_00006,2023-05-13_18-06-18,1683972378,1355.3951623439789,12148,DaveJammin_TUF,127.0.0.1,1355.3951623439789,9
0.9629,0.92862,0.97695,0.66344,1.17468,0.48308,1.11576,9,130.1977756023407,False,10,f69d2_00006,2023-05-13_18-08-29,1683972509,1485.5929379463196,12148,DaveJammin_TUF,127.0.0.1,1485.5929379463196,10
0.9628924927726881,0.9284436493738819,0.9769464345438218,0.6634045854767451,,,,9,25.963382244110107,False,11,f69d2_00006,2023-05-13_18-08-55,1683972535,1511.5563201904297,12148,DaveJammin_TUF,127.0.0.1,1511.5563201904297,11
