metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.66652,0.58994,0.64267,0.28328,1.74271,1.62216,1.45585,0,324.11866664886475,False,1,f69d2_00000,2023-05-13_15-28-29,1683962909,324.11866664886475,12148,DaveJammin_TUF,127.0.0.1,324.11866664886475,1
0.80655,0.70381,0.79177,0.44818,1.50227,1.23689,1.2374,1,98.50399827957153,False,2,f69d2_00000,2023-05-13_15-30-07,1683963007,422.6226649284363,12148,DaveJammin_TUF,127.0.0.1,422.6226649284363,2
0.75795,0.68822,0.75971,0.41347,1.55314,1.32558,1.33853,2,94.89048862457275,False,3,f69d2_00000,2023-05-13_15-31-42,1683963102,517.513153553009,12148,DaveJammin_TUF,127.0.0.1,517.513153553009,3
0.81892,0.81651,0.85512,0.51542,1.40735,1.04055,1.24674,3,95.25306987762451,False,4,f69d2_00000,2023-05-13_15-33-17,1683963197,612.7662234306335,12148,DaveJammin_TUF,127.0.0.1,612.7662234306335,4
0.91303,0.85849,0.92089,0.53833,1.40983,0.80363,1.23858,4,96.28591585159302,False,5,f69d2_00000,2023-05-13_15-34-53,1683963293,709.0521392822266,12148,DaveJammin_TUF,127.0.0.1,709.0521392822266,5
0.9383,0.88295,0.95017,0.59479,1.29591,0.68148,1.17847,5,95.19450092315674,False,6,f69d2_00000,2023-05-13_15-36-29,1683963389,804.2466402053833,12148,DaveJammin_TUF,127.0.0.1,804.2466402053833,6
0.94114,0.89073,0.96008,0.62647,1.23912,0.65361,1.15337,6,98.06776905059814,False,7,f69d2_00000,2023-05-13_15-38-07,1683963487,902.3144092559814,12148,DaveJammin_TUF,127.0.0.1,902.3144092559814,7
0.94359,0.90161,0.96579,0.61723,1.28209,0.59007,1.15779,7,106.07589983940125,False,8,f69d2_00000,2023-05-13_15-39-53,1683963593,1008.3903090953827,12148,DaveJammin_TUF,127.0.0.1,1008.3903090953827,8
0.95044,0.91158,0.96763,0.64291,1.20469,0.56672,1.12145,8,95.56423568725586,False,9,f69d2_00000,2023-05-13_15-41-28,1683963688,1103.9545447826385,12148,DaveJammin_TUF,127.0.0.1,1103.9545447826385,9
0.95618,0.91771,0.97112,0.63107,1.24702,0.55522,1.14069,9,112.56941485404968,False,10,f69d2_00000,2023-05-13_15-43-21,1683963801,1216.5239596366882,12148,DaveJammin_TUF,127.0.0.1,1216.5239596366882,10
0.9501596582035402,0.9110607449477881,0.9675442855662889,0.6426161830009005,,,,9,24.953524589538574,False,11,f69d2_00000,2023-05-13_15-43-46,1683963826,1241.4774842262268,12148,DaveJammin_TUF,127.0.0.1,1241.4774842262268,11
