metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.95048,0.92704,0.97198,0.61976,1.28762,0.5263,1.18222,0,445.4553270339966,False,1,f69d2_00005,2023-05-13_17-26-18,1683969978,445.4553270339966,12148,DaveJammin_TUF,127.0.0.1,445.4553270339966,1
0.95357,0.91329,0.96656,0.64664,1.19559,0.54278,1.11951,1,101.63324427604675,False,2,f69d2_00005,2023-05-13_17-28-00,1683970080,547.0885713100433,12148,DaveJammin_TUF,127.0.0.1,547.0885713100433,2
0.95028,0.91346,0.96703,0.63725,1.21944,0.55137,1.14117,2,123.1218638420105,False,3,f69d2_00005,2023-05-13_17-30-03,1683970203,670.2104351520538,12148,DaveJammin_TUF,127.0.0.1,670.2104351520538,3
0.954,0.91822,0.97019,0.6069,1.33021,0.55738,1.19013,3,100.29875159263611,False,4,f69d2_00005,2023-05-13_17-31-43,1683970303,770.5091867446899,12148,DaveJammin_TUF,127.0.0.1,770.5091867446899,4
0.94513,0.9149,0.96578,0.64532,1.2063,0.57628,1.12739,4,123.35507488250732,False,5,f69d2_00005,2023-05-13_17-33-47,1683970427,893.8642616271973,12148,DaveJammin_TUF,127.0.0.1,893.8642616271973,5
0.95045,0.92742,0.97125,0.63066,1.25575,0.52687,1.15421,5,112.22396683692932,False,6,f69d2_00005,2023-05-13_17-35-39,1683970539,1006.0882284641266,12148,DaveJammin_TUF,127.0.0.1,1006.0882284641266,6
0.95661,0.92282,0.97141,0.66016,1.17585,0.50749,1.11495,6,99.90504479408264,False,7,f69d2_00005,2023-05-13_17-37-19,1683970639,1105.9932732582092,12148,DaveJammin_TUF,127.0.0.1,1105.9932732582092,7
0.95695,0.92589,0.97591,0.65123,1.19548,0.50869,1.12786,7,126.9972550868988,False,8,f69d2_00005,2023-05-13_17-39-26,1683970766,1232.990528345108,12148,DaveJammin_TUF,127.0.0.1,1232.990528345108,8
0.95942,0.92434,0.97594,0.66767,1.16939,0.49485,1.11849,8,101.1435296535492,False,9,f69d2_00005,2023-05-13_17-41-07,1683970867,1334.1340579986572,12148,DaveJammin_TUF,127.0.0.1,1334.1340579986572,9
0.95986,0.93177,0.97843,0.66452,1.17866,0.47779,1.118,9,129.06823658943176,False,10,f69d2_00005,2023-05-13_17-43-16,1683970996,1463.202294588089,12148,DaveJammin_TUF,127.0.0.1,1463.202294588089,10
0.9592129331052123,0.9240991566572961,0.9760144221633604,0.6676592341123548,,,,9,25.114888668060303,False,11,f69d2_00005,2023-05-13_17-43-41,1683971021,1488.3171832561493,12148,DaveJammin_TUF,127.0.0.1,1488.3171832561493,11
