metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.95309,0.93468,0.97698,0.66981,1.17591,0.4856,1.11442,0,449.40935373306274,False,1,f69d2_00007,2023-05-13_18-16-26,1683972986,449.40935373306274,12148,DaveJammin_TUF,127.0.0.1,449.40935373306274,1
0.9632,0.93177,0.97858,0.6768,1.14464,0.47319,1.10044,1,102.74186205863953,False,2,f69d2_00007,2023-05-13_18-18-09,1683973089,552.1512157917023,12148,DaveJammin_TUF,127.0.0.1,552.1512157917023,2
0.95276,0.93125,0.97699,0.66844,1.16991,0.48612,1.10905,2,125.62008094787598,False,3,f69d2_00007,2023-05-13_18-20-14,1683973214,677.7712967395782,12148,DaveJammin_TUF,127.0.0.1,677.7712967395782,3
0.96057,0.9277,0.97757,0.67437,1.16177,0.4797,1.10832,3,118.39458394050598,False,4,f69d2_00007,2023-05-13_18-22-13,1683973333,796.1658806800842,12148,DaveJammin_TUF,127.0.0.1,796.1658806800842,4
0.95717,0.93023,0.97635,0.67466,1.15413,0.47842,1.09813,4,102.05874943733215,False,5,f69d2_00007,2023-05-13_18-23-55,1683973435,898.2246301174164,12148,DaveJammin_TUF,127.0.0.1,898.2246301174164,5
0.96093,0.93029,0.97881,0.67318,1.16312,0.47226,1.10402,5,128.3092176914215,False,6,f69d2_00007,2023-05-13_18-26-03,1683973563,1026.533847808838,12148,DaveJammin_TUF,127.0.0.1,1026.533847808838,6
0.95588,0.93177,0.97742,0.6755,1.15432,0.46755,1.0974,6,118.02408480644226,False,7,f69d2_00007,2023-05-13_18-28-01,1683973681,1144.5579326152802,12148,DaveJammin_TUF,127.0.0.1,1144.5579326152802,7
0.9525,0.93534,0.97857,0.67445,1.15156,0.4648,1.09837,7,106.06490325927734,False,8,f69d2_00007,2023-05-13_18-29-47,1683973787,1250.6228358745575,12148,DaveJammin_TUF,127.0.0.1,1250.6228358745575,8
0.95548,0.93799,0.98004,0.68192,1.14334,0.46038,1.09235,8,129.9262659549713,False,9,f69d2_00007,2023-05-13_18-31-57,1683973917,1380.5491018295288,12148,DaveJammin_TUF,127.0.0.1,1380.5491018295288,9
0.961,0.93208,0.98048,0.67711,1.14671,0.45726,1.09566,9,110.61487030982971,False,10,f69d2_00007,2023-05-13_18-33-48,1683974028,1491.1639721393585,12148,DaveJammin_TUF,127.0.0.1,1491.1639721393585,10
0.9552353233922772,0.9379798914682635,0.9800839317550968,0.6816556369449269,,,,9,26.182680130004883,False,11,f69d2_00007,2023-05-13_18-34-14,1683974054,1517.3466522693634,12148,DaveJammin_TUF,127.0.0.1,1517.3466522693634,11
