metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.94399,0.87438,0.94512,0.61957,1.24525,0.60477,1.15034,0,407.4417793750763,False,1,6f88c_00004,2023-05-13_23-10-58,1683990658,407.4417793750763,23060,DaveJammin_TUF,127.0.0.1,407.4417793750763,1
0.93961,0.90008,0.96158,0.63489,1.21225,0.58055,1.12013,1,74.24566721916199,False,2,6f88c_00004,2023-05-13_23-12-12,1683990732,481.6874465942383,23060,DaveJammin_TUF,127.0.0.1,481.6874465942383,2
0.93761,0.89369,0.95673,0.62747,1.22787,0.64388,1.1432,2,74.11581301689148,False,3,6f88c_00004,2023-05-13_23-13-26,1683990806,555.8032596111298,23060,DaveJammin_TUF,127.0.0.1,555.8032596111298,3
0.92477,0.87959,0.94652,0.60427,1.27906,0.65679,1.16455,3,74.43891930580139,False,4,6f88c_00004,2023-05-13_23-14-41,1683990881,630.2421789169312,23060,DaveJammin_TUF,127.0.0.1,630.2421789169312,4
0.94326,0.91775,0.96845,0.63392,1.23017,0.56016,1.13365,4,75.111004114151,False,5,6f88c_00004,2023-05-13_23-15-56,1683990956,705.3531830310822,23060,DaveJammin_TUF,127.0.0.1,705.3531830310822,5
0.95062,0.925,0.97166,0.65355,1.17946,0.52969,1.11496,5,75.39936399459839,False,6,6f88c_00004,2023-05-13_23-17-11,1683991031,780.7525470256805,23060,DaveJammin_TUF,127.0.0.1,780.7525470256805,6
0.95701,0.91924,0.97051,0.66212,1.17661,0.51711,1.10996,6,75.59722781181335,False,7,6f88c_00004,2023-05-13_23-18-27,1683991107,856.3497748374939,23060,DaveJammin_TUF,127.0.0.1,856.3497748374939,7
0.95908,0.9164,0.97378,0.65427,1.1927,0.5136,1.11522,7,75.66644644737244,False,8,6f88c_00004,2023-05-13_23-19-42,1683991182,932.0162212848663,23060,DaveJammin_TUF,127.0.0.1,932.0162212848663,8
0.96494,0.9214,0.97438,0.67547,1.14222,0.48606,1.08862,8,87.84873533248901,False,9,6f88c_00004,2023-05-13_23-21-10,1683991270,1019.8649566173553,23060,DaveJammin_TUF,127.0.0.1,1019.8649566173553,9
0.96174,0.93279,0.97668,0.67577,1.14706,0.46804,1.09209,9,81.76911616325378,False,10,6f88c_00004,2023-05-13_23-22-32,1683991352,1101.6340727806091,23060,DaveJammin_TUF,127.0.0.1,1101.6340727806091,10
0.9610389209083663,0.9329575294691573,0.9766543157611495,0.6755390066149481,,,,9,23.762866258621216,False,11,6f88c_00004,2023-05-13_23-22-56,1683991376,1125.3969390392303,23060,DaveJammin_TUF,127.0.0.1,1125.3969390392303,11
